type,rho,mass_limited_areas,energy_limited_areas,m_max_mean,m_max_min,m_max_max
A,10,15,0,24.999999999999986,24.99999999999998,24.99999999999998
A,15,15,0,24.999999999999986,24.99999999999998,24.99999999999998
A,20,15,0,24.999999999999986,24.99999999999998,24.99999999999998
A,25,15,0,24.999999999999986,24.99999999999998,24.99999999999998
A,30,13,2,24.09970064575868,14.945426235849357,24.99999999999998
B,10,15,0,29.999999999999986,29.99999999999997,29.99999999999997
B,15,15,0,29.999999999999986,29.99999999999997,29.99999999999997
B,20,14,1,29.934289902765908,29.014348541488832,29.99999999999997
B,25,11,4,29.499948179927507,25.756411840014934,29.99999999999997
B,30,10,5,28.273878896075097,21.37032708231193,29.99999999999997
C,10,10,5,78.8158262004192,71.6033159528807,79.99999999999993
C,15,10,5,77.24298640285154,66.10704568910322,79.99999999999993
C,20,10,5,75.28256315506346,59.15744254883819,79.99999999999993
C,25,9,6,72.67009349696082,50.01595379880328,79.99999999999993
C,30,8,7,68.79621211301297,37.18596584593918,79.99999999999993
